index,state,year,name,type,city,county,district,enroll,mmr,overall,xrel,xmed,xper
2026,California,2018-19,H. A. Hyde Elementary,Public,Watsonville,Santa Cruz,,105.0,98.0,93.0,,,
623,New Jersey,,The Goddard (Sicklerville location),,,Camden,,11.0,-1.0,100.0,,,
1012,Colorado,2017-18,Abrams Elementary,Kindergarten,,El Paso,Fountain 8,148.0,91.22,87.84,,0.68,2.7
6213,California,2018-19,Monterey Bay Charter,Public,Pacific Grove,Monterey,,70.0,87.0,86.0,,10.0,
696,Virginia,2018-19,Navy Elementary,,,Fairfax,Fairfax,99.0,-1.0,96.0,1.01,1.01,
314,New Jersey,,Larchmont,,,Burlington,,78.0,-1.0,100.0,,,
257,Vermont,2018-19,Saxtons River Elementary,,,Windham,,93.0,93.5483871,93.5483871,,,
2671,California,2018-19,Morningside Elementary,Public,Garden Grove,Orange,,77.0,98.0,98.0,,2.0,
1322,Illinois,2018-19,Washington Elementary,,Schiller Park,Cook,,310.0,98.70967742,-1.0,0.97,,
128,Vermont,2018-19,Saint Johnsbury Academy,,,Caledonia,,977.0,97.95291709,94.88229273,,,
77,New Jersey,,Camden Forward,,,Camden,,12.0,-1.0,100.0,,,
3265,New York,2017-18,King's Way Academy,Private,Painted Post,Steuben,,,89.5,-1.0,7.89,,
148,Washington,,Vale Elementary,,Cashmere,Chelan,,,100.0,96.49,,0.88,1.75
621,Oregon,2018-19,Reynolds Arthur Academy,,,Multnomah,,28.0,90.86294416,87.81725888,,,7.614213198
1032,Massachusetts,2018-19,Hoosac Valley Elementary,Public,Adams,Berkshire,,,-1.0,-1.0,,,
2556,California,2018-19,Martha Baldwin Elementary,Public,Alhambra,Los Angeles,,96.0,98.0,96.0,,,
2177,California,2018-19,Jackson Elementary,Public,Sanger,Fresno,,76.0,98.0,98.0,,2.0,
2274,New York,2017-18,Deauville Gardens West Elementary,Public,Copiague,Suffolk,,,98.4,-1.0,0.81,,
2217,Florida,2018-19,Florida Cyber Charter Academy,,,,Duval,32.0,-1.0,46.88,,,
3060,New York,2017-18,Elmwood Village Charter School - Hertel,Private,Buffalo,Erie,,,94.6,-1.0,3.36,,
61,Washington,,Jewish Day,,Bellevue,King,,,100.0,100.0,,,
4261,California,2018-19,Orion Alternative,Public,Redwood City,San Mateo,,56.0,96.0,96.0,,,
875,New Jersey,,Freedom Prep Charter,,,Camden,,63.0,-1.0,98.4,1.6,,
108,Florida,2018-19,The Quest Center,,,,Broward,1.0,-1.0,100.0,,,
654,Texas,2018-19,Plainview Christian Acad,,,Hale,,,84.21,-1.0,,,
1087,California,2018-19,Valley View Community Elementary,Public,Newhall,Los Angeles,,100.0,99.0,99.0,,1.0,
6648,California,2018-19,Blind Childrens Learning Center,Private,Santa Ana,Orange,,3.0,-1.0,-1.0,,,
321,New York,2017-18,Little Flower Prep,Private,Brooklyn,Kings,,,100.0,-1.0,,,
137,Illinois,2018-19,Grigsby Intermediate Sch,,Granite City,Madison,,944.0,100.0,-1.0,,,
1662,Michigan,2018-19,Assumption Blessed Virgin Mary,,,Kent,Rockford Public Schools,22.0,-1.0,86.4,,13.6,
26,Rhode Island,2018-19,Cornerstone,,Cranston,,,,-1.0,-1.0,,,
1686,Florida,2018-19,Village Green Elementary,,,,Dade,34.0,-1.0,91.18,2.941176471,5.882352941,
809,Michigan,2018-19,South Canton Scholars Charter Academy,,,Wayne,South Canton Scholars Charter Academy,88.0,-1.0,94.3,,3.4,
690,Wisconsin,2018-19,Riverview Elementary,,Wautoma,Waushara,,,-1.0,90.0,5.0,,5.0
2839,New York,2017-18,Reinhard Early Chldhd Ctr,Public,Bellmore,Nassau,,,96.7,-1.0,1.27,0.76,
365,North Carolina,2018-19,Harold D Isenberg Elementary,,,Rowan,,59.0,-1.0,100.0,1.7,,
1672,California,2018-19,Dayton Elementary,Public,San Leandro,Alameda,,89.0,98.0,97.0,,,
276,New York,2017-18,Inlet Elementary,Public,Inlet,Hamilton,,,100.0,-1.0,,,
6402,California,2018-19,Uncharted Shores Academy,Public,Crescent City,Del Norte,,32.0,75.0,63.0,,9.0,
549,Iowa,2018-19,Bergman Academy,,,Polk,,252.0,-1.0,95.6,,,
1702,New Jersey,,William Mason,,,Morris,,22.0,-1.0,90.9,4.6,,
273,Pennsylvania,2017,Park Elementary,,Columbia,,,112.0,100.0,-1.0,,,
139,Texas,2018-19,Presbyterian,,,Harris,,,100.0,-1.0,,,
71,Maine,2018-19,St. Johns Catholic,,,Cumberland,,14.0,100.0,-1.0,,,
790,Massachusetts,2018-19,Eliot Elementary,Public,Boston,Suffolk,,,88.0,-1.0,,1.3,
960,New Jersey,,Howard Emmons Elementary,,,Burlington,,99.0,-1.0,98.0,2.0,,
516,Connecticut,2017-18,Killingly Central,Public,Killingly,Windham,,,90.67,-1.0,6.22,2.59,
458,North Carolina,2018-19,L & L Montessori,,,Brunswick,,4.0,-1.0,100.0,,,
3015,California,2018-19,Riverview Stem Elementary,Public,Rancho Cordova,Sacramento,,60.0,98.0,98.0,,2.0,
1751,Michigan,2018-19,St Mary,,,Eaton,Charlotte Public Schools,18.0,-1.0,83.3,,11.1,
2523,Illinois,2018-19,Fairfield Elementary Academy,,Chicago,Cook,,571.0,97.02276708,-1.0,,0.53,
175,Colorado,2017-18,Galeton Elementary,Kindergarten,,Weld,Jefferson County R-1,19.0,100.0,100.0,,,
15,Tennessee,2018-19,Bolivar Elementary,,,Hardeman ,,100.0,-1.0,100.0,,,
208,Michigan,2018-19,Lakewood,,,Ottawa,West Ottawa Public School District,58.0,-1.0,98.3,,,
5123,California,2018-19,Peppermint Junction,Private,Oxnard,Ventura,,37.0,95.0,95.0,,5.0,
2768,New York,2017-18,Town Of Webb,Public,Old Forge,Herkimer,,,97.1,-1.0,2.9,0.83,
776,Iowa,2018-19,Cedar Rapids Comm School District,,,Linn,,334.0,-1.0,75.1,,,
